Name,Link,Family,Thickness(%),x-Location_of_Max_Thk(%),Camber(%),Data_Sources,Cl_Max,Cl/Cd_Max,Cd@Cl=0.1,Cd@Cl=0.4,Cd@Cl=0.6
63A108 MOD C,"<a href=""http://www.bigfoil.com/index.php?airfoil=3e38ca90-4341-40bd-bb0e-542d3c29f906"" target=""_blank"">63A108 MOD C</a>",NASA,7.7,30.1,0.6,JF XF,1.02,64,0.011,0.013,0.013
A18,"<a href=""http://www.bigfoil.com/index.php?airfoil=899440fe-fba7-4e7f-bd3c-d91829a403ca"" target=""_blank"">A18</a>",Uncategorized,7.3,30.1,3.2,JF WT XF,1.40,84,0.011,0.011,0.011
A18 (SMOOTHED),"<a href=""http://www.bigfoil.com/index.php?airfoil=32b00f8c-27a1-4f14-adb5-d6a0c80f1d0f"" target=""_blank"">A18 (smoothed)</a>",Uncategorized,7.3,26.5,3.8,JF XF,1.31,85,0.011,0.011,0.011
A6014-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=4547f404-59c8-4831-acdd-c083958750c3"" target=""_blank"">A6014-S</a>",Ayers,6.0,30.1,1.4,JF XF,0.70,88,0.005,0.005,0.067
A6016-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=ec08b184-da7f-46e5-b96b-9cda9f555c87"" target=""_blank"">A6016-S</a>",Ayers,6.0,30.1,1.6,JF XF,0.77,89,0.005,0.006,0.072
A6018-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=17d1cf15-8dc9-4f83-9e3a-cff8a2ade278"" target=""_blank"">A6018-S</a>",Ayers,6.0,31.9,1.8,JF XF,0.77,96,0.005,0.004,0.072
A6020-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=9158a3b0-bbde-4951-892f-8141964f88ff"" target=""_blank"">A6020-S</a>",Ayers,6.0,31.9,2.0,JF XF,0.80,98,0.007,0.004,0.072
A6516-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=d83b3c08-d161-42ff-aa54-e95b0a60e5f5"" target=""_blank"">A6516-S</a>",Ayers,6.5,30.1,1.6,JF XF,0.70,89,0.005,0.005,0.063
A6518-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=1ceb3a82-903f-4dbd-82c3-3c32c9d50e23"" target=""_blank"">A6518-S</a>",Ayers,6.5,31.9,1.8,JF XF,0.82,105,0.006,0.004,0.075
A6520-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=fd9fca27-b56b-48b4-bb70-5e6f24b4eba7"" target=""_blank"">A6520-S</a>",Ayers,6.6,31.9,2.0,JF XF,0.85,107,0.006,0.004,0.080
A6522-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=7cef4623-1754-462c-8f69-c987d0f40014"" target=""_blank"">A6522-S</a>",Ayers,6.5,31.9,2.1,JF XF,0.86,111,0.007,0.004,0.080
A7018-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=913e607f-953b-406f-b5e6-c8ee09e713f4"" target=""_blank"">A7018-S</a>",Ayers,7.0,30.1,1.8,JF XF,0.87,102,0.006,0.004,0.079
A7020-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=94662113-f763-49e3-88ca-db408310534c"" target=""_blank"">A7020-S</a>",Ayers,7.0,31.9,1.9,JF XF,0.92,104,0.006,0.004,0.086
A7022-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=a70a6c34-c452-4d49-9ebe-13b11f41b6cf"" target=""_blank"">A7022-S</a>",Ayers,7.0,31.9,2.2,JF XF,0.88,110,0.007,0.004,0.077
A7024-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=b6aa4448-6241-4bec-b8fa-8f92396b2f08"" target=""_blank"">A7024-S</a>",Ayers,7.0,31.9,2.4,JF XF,0.93,119,0.007,0.004,0.084
A7520-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=048e6cde-9482-42f8-a445-54303ef1c941"" target=""_blank"">A7520-S</a>",Ayers,7.5,30.1,2.0,JF XF,0.93,105,0.006,0.005,0.086
A7522-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=80b66aba-11a6-4446-98f0-cce45b1ad13a"" target=""_blank"">A7522-S</a>",Ayers,7.5,31.9,2.2,JF XF,0.92,108,0.007,0.005,0.080
A7524-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=c4a31455-6346-468a-9c60-3857f9b56ccf"" target=""_blank"">A7524-S</a>",Ayers,7.6,31.9,2.3,JF XF,1.03,123,0.007,0.005,0.103
A7526-S,"<a href=""http://www.bigfoil.com/index.php?airfoil=4970ad7d-5d25-4e0a-b78b-a92cc4d61514"" target=""_blank"">A7526-S</a>",Ayers,7.5,31.9,2.6,JF XF,1.03,122,0.019,0.004,0.094
ABRIAL17,"<a href=""http://www.bigfoil.com/index.php?airfoil=517a817d-ec18-4571-86bd-092ba40286f4"" target=""_blank"">Abrial17</a>",Uncategorized,10.0,24.8,3.2,JF XF,1.11,103,0.009,0.009,0.007
