,Name_big,Name_dat
0,A18,a18.DAT
1,A6014-S,A6014-S.DAT
2,A6016-S,A6016-S.DAT
3,A6018-S,A6018-S.DAT
4,A6020-S,A6020-S.DAT
5,A6516-S,A6516-S.DAT
6,A6518-S,A6518-S.DAT
7,A6520-S,A6520-S.DAT
8,A6522-S,A6522-S.DAT
9,A7018-S,A7018-S.DAT
10,A7020-S,A7020-S.DAT
11,A7022-S,A7022-S.DAT
12,A7024-S,A7024-S.DAT
13,A7520-S,A7520-S.DAT
14,A7522-S,A7522-S.DAT
15,A7524-S,A7524-S.DAT
16,A7526-S,A7526-S.DAT
17,ABRIAL17,Abrial17.DAT
18,AG04,ag04.DAT
19,AG08,ag08.DAT
20,AG09,ag09.DAT
21,AG10,ag10.DAT
22,AG11,ag11.DAT
23,AG12,ag12.DAT
24,AG13,ag13.DAT
25,AG14,ag14.DAT
26,AG16,ag16.DAT
27,AG17,ag17.DAT
28,AG18,ag18.DAT
29,AG19,ag19.DAT
30,AG24,ag24.DAT
31,AG25,ag25.DAT
32,AG26,ag26.DAT
33,AG27,ag27.DAT
34,AG34,AG34.DAT
35,AG34NORM,AG34norm.DAT
36,AG35,ag35.DAT
37,AG35-R,AG35-r.DAT
38,AG3516,AG3516.DAT
39,AG36,ag36.DAT
40,AG3617,AG3617.DAT
41,AG37,ag37.DAT
42,AG3718,AG3718.DAT
43,AG38,ag38.DAT
44,AG3819,AG3819.DAT
45,AG40D-02R,AG40d-02r.DAT
46,AG455CT-02R,AG455ct-02r.DAT
47,AIR 100-2 ACRO MM 576 1999,AIR 100-2 Acro MM 576 1999.DAT
48,AMI 43,AMI 43.DAT
49,AQUILA 9.3% SMOOTHED,aquilasm.DAT
50,ATR72SM,atr72sm.DAT
51,AV-1.7-8,AV-1.7-8.DAT
52,AVISTAR,avistar.DAT
53,AVX-NITRO,avx-nitro.DAT
54,AVX-PLANEUR,avx-planeur.DAT
55,AZ2002MID,AZ2002mid.DAT
56,AZ2002ROOT,AZ2002root.DAT
57,AZ2002TIP,AZ2002tip.DAT
58,AZ2003MID,AZ2003mid.DAT
59,AZ2003ROOT,AZ2003root.DAT
60,AZ2003TIP,AZ2003tip.DAT
61,AZ2004_9,AZ2004_9.DAT
62,AZ2005MID,AZ2005mid.DAT
63,AZ2005ROOT,AZ2005root.DAT
64,AZ2005TIP,AZ2005tip.DAT
65,AZ2007_8_1.2_TIP,AZ2007_8_1.2_tip.DAT
66,AZ2007_8_1.3_MID,AZ2007_8_1.3_mid.DAT
67,AZ2007_8_1.4_ROOT,AZ2007_8_1.4_root.DAT
68,AZCOMBAT1,AZcombat1.DAT
69,BC30,BC30.DAT
70,BC50,BC50.DAT
71,BC70,BC70.DAT
72,BE5030FVNC2,BE5030FVNC2.DAT
73,BE5045FVNC2,BE5045FVNC2.DAT
74,BE5655FVNC2,BE5655FVNC2.DAT
75,BERGEY BW-3 (SMOOTHED),bw3.DAT
76,BOEING 103,boe103.DAT
77,BOEING 106,boe106.DAT
78,BOEING 707 .08 SPAN,b707a.DAT
79,BOEING 707 .19 SPAN,b707b.DAT
80,BOEING 707 .40 SPAN,b707c.DAT
81,BOEING 707 .54 SPAN,b707d.DAT
82,BOEING 707 .99 SPAN,b707e.DAT
83,BOEING 737 MIDSPAN,b737c.DAT
84,BOEING 737 MIDSPAN,b737b.DAT
85,BOEING 737 OUTBOARD,b737d.DAT
86,BOEING 737 ROOT,b737a.DAT
87,BORGE-B3,Borge-b3.DAT
88,CAL1215J,CAL1215j.DAT
89,CAL2263M,CAL2263m.DAT
90,CAL4014L,CAL4014l.DAT
91,CB2012,CB2012.DAT
92,CB2195,CB2195.DAT
93,CB2195-25D,CB2195-25d.DAT
94,CB2513,CB2513.DAT
95,CB2514,CB2514.DAT
96,CB2515,CB2515.DAT
97,CB3013,CB3013.DAT
98,CB3512,CB3512.DAT
99,CHEN,chen.DAT
100,CJ3209,CJ3209.DAT
101,CLARK-Y 11.7% SMOOTHED,clarkysm.DAT
102,CODY ROBERTSON CR 001 R/C HAND-LAUNCH LOW REYNOLDS NUMBER AIRFOIL (SMOOTHED),cr001sm.DAT
103,CRISTAL_CB85_15_7,cristal_cb85_15_7.DAT
104,D6213-S,D6213-S.DAT
105,D6214-S,D6214-S.DAT
106,D6515-S,D6515-S.DAT
107,D6516-S,D6516-S.DAT
108,D7016-S,D7016-S.DAT
109,D7017-S,D7017-S.DAT
110,D7517-S,D7517-S.DAT
111,D7518-S,D7518-S.DAT
112,D8018-S,D8018-S.DAT
113,D8019-S,D8019-S.DAT
114,DA5206,DA5206.DAT
115,DA5512,DA5512.DAT
116,DA6016,DA6016.DAT
117,DA6515,DA6515.DAT
118,DA7017,DA7017.DAT
119,DA7520,DA7520.DAT
120,DA8000,DA8000.DAT
121,DA8015,DA8015.DAT
122,DA8024,DA8024.DAT
123,DA8523,DA8523.DAT
124,DA9021,DA9021.DAT
125,DALE HOUSE DH4009 (SMOOTHED) USED ON THE STORM R/C AEROBATIC AIRCRAFT,dh4009sm.DAT
126,DAVIS,davis.DAT
127,DD928416,DD928416.DAT
128,DF101,df101.DAT
129,DF102,df102.DAT
130,DF103,DF103.DAT
131,DORMOY,dormoy.DAT
132,DS19,DS19.DAT
133,DS21,DS21.DAT
134,DU06-W-200_VAWT,DU06-W-200_VAWT.DAT
135,EDGE_ROOT,Edge_root.DAT
136,EDGE_TIP,Edge_tip.DAT
137,ELINA,ELINA.DAT
138,EM 925 20103 181 N,EM 925 20103 181 n.DAT
139,EM CY 1016 1510,EM CY 1016 1510.DAT
140,EM CY 1016 2012,EM CY 1016 2012.DAT
141,EM CY 1016 20145,EM CY 1016 20145.DAT
142,EM CY 1021 18104,EM CY 1021 18104.DAT
143,EM CY 1021 2010 X5 FERTIG,EM CY 1021 2010 X5 Fertig.DAT
144,EM CY 1024 2010,EM CY 1024 2010.DAT
145,EM CY 1025 20098,EM CY 1025 20098.DAT
146,EM J18 1 3015,EM J18 1 3015.DAT
147,EM J18 2010,EM J18 2010.DAT
148,EM J18 2010 26 51,EM J18 2010 26 51.DAT
149,EM J18 2010 27 48,EM J18 2010 27 48.DAT
150,EM J18 2310,EM J18 2310.DAT
151,EM J18 2510 26 51,EM J18 2510 26 51.DAT
152,"EM J18 2515 DRW R0,8","EM J18 2515 DrW r0,8.DAT"
153,EM J18 2610 27 48,EM J18 2610 27 48.DAT
154,EM J18 3010 26 51,EM J18 3010 26 51.DAT
155,"EM J18 3012 DRW R1,2","EM J18 3012 DrW r1,2.DAT"
156,EM J18 3013,EM J18 3013.DAT
157,"EM J18 3015 DRW R0,8","EM J18 3015 DrW r0,8.DAT"
158,EM J18 3212,EM J18 3212.DAT
159,EM J18 3510 26 51,EM J18 3510 26 51.DAT
160,EM J19 3010,EM J19 3010.DAT
161,EM J20 2510,EM J20 2510.DAT
162,EM J8 2010 DRW,EM J8 2010 DrW.DAT
163,EM J8 2510 DRW,EM J8 2510 DrW.DAT
164,EM J8 3010 DRW,EM J8 3010 DrW.DAT
165,EM L3 2510,EM L3 2510.DAT
166,EM L3 3012,EM L3 3012.DAT
167,EM L5 2010,EM L5 2010.DAT
168,EM S104 20107,EM S104 20107.DAT
169,EM S14 2511,EM S14 2511.DAT
170,EM S5 1811 121,EM S5 1811 121.DAT
171,EMX-07,EMX-07.DAT
172,EPPLER 377MOD,e377m.DAT
173,EPPLER E193GU-K24,E193gU-K24.DAT
174,EPPLER STE 87(-3)-914,ste87391.DAT
175,EPPLER STE 871-514,ste87151.DAT
176,EPPLER STF 863-615,stf86361.DAT
177,ESA40,esa40.DAT
178,FAD04,FAD04.DAT
179,FAD05,FAD05.DAT
180,FAD05_CNC,FAD05_CNC.DAT
181,FAD06,FAD06.DAT
182,FAD07,FAD07.DAT
183,FAD13,FAD13.DAT
184,FAD14,FAD14.DAT
185,FAD15,FAD15.DAT
186,FAD16,FAD16.DAT
187,FAD17,FAD17.DAT
188,FAD18,FAD18.DAT
189,FAD21,FAD21.DAT
190,FAD23,FAD23.DAT
191,FAD24,FAD24.DAT
192,FRASER_F4FRAS15,Fraser_f4fras15.DAT
193,FX 60-100 10.0% SMOOTHED,fx60100sm.DAT
194,FX 63-137 13.7% SMOOTHED,fx63137sm.DAT
195,FX 66-17AII-182,fx6617ai.DAT
196,FX 66-17AII-182,fx6617a2.DAT
197,FX 74-CL5-140 MOD (SMOOTHED),fx74modsm.DAT
198,GA 30-010,GA 30-010.DAT
199,GA 30-011,GA 30-011.DAT
200,GA 30-012,GA 30-012.DAT
201,GA 30-013,GA 30-013.DAT
202,GA 30-014,GA 30-014.DAT
203,GA 30-015,GA 30-015.DAT
204,GA 30-016,GA 30-016.DAT
205,GA 30-017,GA 30-017.DAT
206,GA 30-018,GA 30-018.DAT
207,GA 30-019,GA 30-019.DAT
208,GA 30-020,GA 30-020.DAT
209,GA 30-210,GA 30-210.DAT
210,GA 30-211,GA 30-211.DAT
211,GA 30-212,GA 30-212.DAT
212,GA 30-213,GA 30-213.DAT
213,GA 30-214,GA 30-214.DAT
214,GA 30-215,GA 30-215.DAT
215,GA 30-216,GA 30-216.DAT
216,GA 30-217,GA 30-217.DAT
217,GA 30-218,GA 30-218.DAT
218,GA 30-219,GA 30-219.DAT
219,GA 30-220,GA 30-220.DAT
220,GA 30-310,GA 30-310.DAT
221,GA 30-311,GA 30-311.DAT
222,GA 30-312,GA 30-312.DAT
223,GA 30-313,GA 30-313.DAT
224,GA 30-314,GA 30-314.DAT
225,GA 30-315,GA 30-315.DAT
226,GA 30-316,GA 30-316.DAT
227,GA 30-317,GA 30-317.DAT
228,GA 30-318,GA 30-318.DAT
229,GA 30-319,GA 30-319.DAT
230,GA 30-320,GA 30-320.DAT
231,GA 30-410,GA 30-410.DAT
232,GA 30-411,GA 30-411.DAT
233,GA 30-412,GA 30-412.DAT
234,GA 30-413,GA 30-413.DAT
235,GA 30-413.5,GA 30-413.5.DAT
236,GA 30-414,GA 30-414.DAT
237,GA 30-415,GA 30-415.DAT
238,GA 30-416,GA 30-416.DAT
239,GA 30-417,GA 30-417.DAT
240,GA 30-418,GA 30-418.DAT
241,GA 30-419,GA 30-419.DAT
242,GA 30-420,GA 30-420.DAT
243,GA 30-610,GA 30-610.DAT
244,GA 30-611,GA 30-611.DAT
245,GA 30-612,GA 30-612.DAT
246,GA 30-613,GA 30-613.DAT
247,GA 30-614,GA 30-614.DAT
248,GA 30-615,GA 30-615.DAT
249,GA 30-616,GA 30-616.DAT
250,GA 30-617,GA 30-617.DAT
251,GA 30-618,GA 30-618.DAT
252,GA 30-619,GA 30-619.DAT
253,GA 30-620,GA 30-620.DAT
254,GA 30A010,GA 30A010.DAT
255,GA 30A011,GA 30A011.DAT
256,GA 30A012,GA 30A012.DAT
257,GA 30A013,GA 30A013.DAT
258,GA 30A014,GA 30A014.DAT
259,GA 30A015,GA 30A015.DAT
260,GA 30A016,GA 30A016.DAT
261,GA 30A017,GA 30A017.DAT
262,GA 30A018,GA 30A018.DAT
263,GA 30A019,GA 30A019.DAT
264,GA 30A020,GA 30A020.DAT
265,GA 30A210,GA 30A210.DAT
266,GA 30A211,GA 30A211.DAT
267,GA 30A212,GA 30A212.DAT
268,GA 30A213,GA 30A213.DAT
269,GA 30A214,GA 30A214.DAT
270,GA 30A215,GA 30A215.DAT
271,GA 30A216,GA 30A216.DAT
272,GA 30A217,GA 30A217.DAT
273,GA 30A218,GA 30A218.DAT
274,GA 30A219,GA 30A219.DAT
275,GA 30A220,GA 30A220.DAT
276,GA 30A310,GA 30A310.DAT
277,GA 30A311,GA 30A311.DAT
278,GA 30A312,GA 30A312.DAT
279,GA 30A313,GA 30A313.DAT
280,GA 30A314,GA 30A314.DAT
281,GA 30A315,GA 30A315.DAT
282,GA 30A316,GA 30A316.DAT
283,GA 30A317,GA 30A317.DAT
284,GA 30A318,GA 30A318.DAT
285,GA 30A319,GA 30A319.DAT
286,GA 30A320,GA 30A320.DAT
287,GA 30A410,GA 30A410.DAT
288,GA 30A411,GA 30A411.DAT
289,GA 30A412,GA 30A412.DAT
290,GA 30A413,GA 30A413.DAT
291,GA 30A414,GA 30A414.DAT
292,GA 30A415,GA 30A415.DAT
293,GA 30A416,GA 30A416.DAT
294,GA 30A417,GA 30A417.DAT
295,GA 30A418,GA 30A418.DAT
296,GA 30A419,GA 30A419.DAT
297,GA 30A420,GA 30A420.DAT
298,GA 30A610,GA 30A610.DAT
299,GA 30A611,GA 30A611.DAT
300,GA 30A612,GA 30A612.DAT
301,GA 30A613,GA 30A613.DAT
302,GA 30A614,GA 30A614.DAT
303,GA 30A615,GA 30A615.DAT
304,GA 30A616,GA 30A616.DAT
305,GA 30A617,GA 30A617.DAT
306,GA 30A618,GA 30A618.DAT
307,GA 30A619,GA 30A619.DAT
308,GA 30A620,GA 30A620.DAT
309,GA 30U-612,GA 30U-612.DAT
310,GA 30U-615,GA 30U-615.DAT
311,GA 30U-618,GA 30U-618.DAT
